transaction_id,customer_id,product_id,product_name,category,quantity,unit_price,total_amount,currency,payment_method,country,order_date,is_returned
e732aeb2-7658-4ed2-8814-6149e5217c96,C00126,P002,Wireless Mouse,Electronics,1,29.99,29.99,EUR,paypal,MA,2024-01-27T21:47:00,False
4d995e4f-256c-40cd-90c3-68478df3e700,C00112,P007,Webcam HD,Electronics,-1,79.99,79.99,EUR,paypal,DE,2024-06-03T00:35:00,False
2fea9e35-cd57-4a89-a35c-2e839f34d83b,C00143,P007,Webcam HD,Electronics,2,79.99,159.98,EUR,credit_card,,2024-02-10T22:27:00,False
5fd7a350-e1b6-45bf-9591-3eae476c8aa7,C00050,P006,Keyboard MX,Electronics,1,99.99,99.99,EUR,bank_transfer,,2024-03-29T19:16:00,False
9982dd5f-7731-4a0b-84e8-0608d260a056,C00151,P002,Wireless Mouse,Electronics,4,29.99,119.96,EUR,,,2024-04-02T18:12:00,False
b12d5183-907b-4445-b5f4-b942439d2cf4,C00438,P004,Standing Desk,Furniture,3,599.99,1799.97,EUR,paypal,,2024-01-26T12:17:00,False
c83effba-35c3-4321-845b-4354594ab9a5,C00344,P003,USB-C Hub,Accessories,3,49.99,149.97,EUR,bank_transfer,ES,2024-06-23T20:04:00,False
8c91b29c-b0d1-463c-acc8-db28893e3998,C00139,P004,Standing Desk,Furniture,2,599.99,1199.98,EUR,,MA,2024-06-24T10:53:00,False
ccfafb1c-17c5-40aa-a3ff-d25b3c7700af,C00034,P001,Laptop Pro 15,Electronics,3,1299.99,3899.97,EUR,paypal,DE,2024-03-21T06:41:00,False
8de01574-0403-4955-87f2-8c2e08f09c93,C00127,P008,Desk Lamp,Furniture,2,45.99,91.98,EUR,,DE,2024-03-08T23:37:00,False
c68a4ee3-0e9c-4a18-919c-887054672bc0,C00071,P006,Keyboard MX,Electronics,2,99.99,199.98,EUR,,UK,2024-01-24T01:55:00,False
c68a4ee3-0e9c-4a18-919c-887054672bc0,C00071,P006,Keyboard MX,Electronics,2,99.99,199.98,EUR,,UK,2024-01-24T01:55:00,False
a206c4b9-b962-4ebd-8720-38ebd8724afe,C00394,P002,Wireless Mouse,Electronics,5,29.99,149.95,EUR,bank_transfer,FR,2024-03-16T13:10:00,False
892bfb01-9e84-4dce-a9f7-edb914796c2f,C00260,P005,Monitor 27inch,Electronics,5,399.99,1999.95,EUR,credit_card,,2024-06-09T09:53:00,False
b4c5112a-3318-4fc7-a319-59af0caee93e,C00277,P003,USB-C Hub,Accessories,3,49.99,149.97,EUR,,FR,2024-06-02T10:31:00,True
e2c519e1-f7c0-4902-9809-3779e77c4a18,C00450,P005,Monitor 27inch,Electronics,2,399.99,799.98,EUR,,FR,2024-01-22T23:31:00,False
